Index,Name,Price,Original Price,Description,Rating,type
0,Philips BT40 Portable Bluetooth Speaker,799,1999,"Black, Mono Channel",4.2,bluetoothspeaker
1,Intex IT-XM BANG SUFB 78 W Bluetooth Home Theatre,3099,7999,"Black, 4.1 Channel",4.1,bluetoothspeaker
2,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,1199,2499,"Black, Stereo Channel",4.1,bluetoothspeaker
3,realme Pocket Speaker with Bass Radiator 3 W Bluetooth ...,899,1499,"Classic Black, Stereo Channel",4.1,bluetoothspeaker
4,etmax NANO BLACK 30 W Bluetooth Home Theatre,900,2199,"Black, Stereo Channel",3.8,bluetoothspeaker
5,boAt Stone 1200F Sunburn Edition with upto 9 Hours Play...,3999,6990,"Blue, Stereo Channel",4.2,bluetoothspeaker
6,boAt Stone 350 10 W Bluetooth Speaker,1699,3490,"Black, Mono Channel",4.3,bluetoothspeaker
7,"Mivi Fort S16 Soundbar with 2 full range drivers, Made ...",1499,2999,"Black, 2.0 Channel",4.4,bluetoothspeaker
8,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,1199,2499,"Grey, Stereo Channel",4.1,bluetoothspeaker
9,Intex 2622 55 W Portable Bluetooth Home Theatre,2099,6499,"Black, 4.1 Channel",3.8,bluetoothspeaker
10,CIHLEX New Good Quality Wooden Wireless Speaker with wi...,474,1499,"Grey, Stereo Channel",3.7,bluetoothspeaker
11,ZEBRONICS Zeb Buddy 100 15 W Bluetooth Party Speaker,1549,2799,"Black, Mono Channel",3.8,bluetoothspeaker
12,Intex IT-2616 BT 55 W Bluetooth Home Theatre,2299,2999,"Black, 4.1 Channel",3.8,bluetoothspeaker
13,MOTOROLA AmphisoundX with HDMI Arc 100 W Bluetooth Soun...,3499,11999,"Metallic Grey, 2.0 Channel",4,bluetoothspeaker
14,Wings CentreStage 120 16 W Bluetooth Laptop/Desktop Spe...,1099,2999,"Black, 2.0 Channel",4.2,bluetoothspeaker
15,F FERONS Wireless rechargeable portable Premium bass Mu...,407,1500,"Red, Stereo Channel",3.9,bluetoothspeaker
16,Panasonic SC-HTB78GW-K 160 W Bluetooth Soundbar,5999,12490,"Black, 2.1 Channel",4.1,bluetoothspeaker
17,Sulfur NEW ARRIVAL |3D sound| Splash proof| Water resis...,499,1500,"Pink, Black, Stereo Channel",3.9,bluetoothspeaker
18,ZSIV 10W Dj Mini Speaker 3D Bass New Arrival Wireless B...,421,1999,"Multicolor, Stereo Channel",4,bluetoothspeaker
19,F FERONS TG-113 Ultra 3D Dynamic Thunder Sound With Hig...,413,1500,"Blue, Stereo Channel",3.9,bluetoothspeaker
20,JOKIN Bluetooth wireless rechargeable speaker with mic ...,799,2999,"Black, Stereo Channel",4.3,bluetoothspeaker
